,dof_1,dof_2,dof_3,dof_4,dof_5,dof_6,dof_7,dof_8,dof_9,dof_10
base_value_0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_value_0.01,0.9203284425949126,0.995010488373387,0.9997346760810567,0.9999875316325576,0.9999994694433555,0.9999999792197405,0.9999999992419996,0.9999999999740208,0.9999999999991576,0.999999999999974
base_value_0.02,0.8875147342891504,0.9900458719730462,0.999251797577326,0.9999502924609718,0.9999970094173165,0.9999998343801791,0.9999999914574925,0.9999999995859922,0.9999999999810167,0.9999999999991719
base_value_0.03,0.8624629940135898,0.9851060265839565,0.9986295775716623,0.9998885299840758,0.9999917882915309,0.999999443124833,0.999999964826464,0.9999999979124519,0.9999999998827792,0.999999999993738
base_value_0.04,0.8414492884433387,0.9801908286108694,0.9978964067544052,0.9998024898475814,0.9999832030504044,0.9999986849379847,0.9999999041011928,0.9999999934286503,0.9999999995739578,0.9999999999737217
base_value_0.05,0.8230284620096238,0.975300155075216,0.9970689262997106,0.9996924158564089,0.999970761438601,0.9999974411262817,0.9999997914019751,0.9999999840206885,0.9999999988418323,0.9999999999201382
base_value_0.06,0.8064579963813746,0.9704338836120308,0.9961585135469947,0.9995585499869416,0.999954042101729,0.9999955948004907,0.9999996066702133,0.999999966997505,0.9999999973799413,0.9999999998021045
base_value_0.07,0.7912960002114701,0.9655918924668894,0.9951736264112245,0.9994011323992034,0.9999326746418444,0.9999930308574022,0.9999993279784077,0.9999999391027127,0.9999999947784933,0.9999999995740476
base_value_0.08,0.7772540327312345,0.9607740604928626,0.9941208972715295,0.9992204014489595,0.9999063278314947,0.9999896359618866,0.9999989317620264,0.9999998965262847,0.9999999905161627,0.9999999991729874
base_value_0.09,0.7641313757618708,0.9559802671474853,0.9930057238866518,0.999016593699743,0.9998747019216092,0.9999852985291006,0.9999983930026708,0.9999998349160958,0.9999999839529503,0.9999999985158894
base_value_0.1,0.7517816185629754,0.9512103924897404,0.9918326212229304,0.9987899439348054,0.9998375232724154,0.9999799087068408,0.9999976853782474,0.9999997493893145,0.999999974323909,0.9999999974970885
base_value_0.11,0.7400940279582896,0.9464643171770577,0.9906054461149167,0.9985406851689926,0.9997945404183811,0.9999733583580465,0.9999967813894458,0.9999996345436534,0.9999999607335859,0.9999999959857824
base_value_0.12,0.7289824146789223,0.9417419224623285,0.9893275485317353,0.9982690486605474,0.9997455210748651,0.9999655410434471,0.9999956524684577,0.9999994844684752,0.999999942151078,0.9999999938235926
base_value_0.13,0.7183781080614435,0.9370430901909338,0.9880018777576428,0.9979752639228373,0.9996902497932924,0.9999563520043567,0.9999942690739314,0.9999992927557569,0.9999999174056189,0.9999999908221937
base_value_0.14,0.7082253247944786,0.9323677027977888,0.986631059475083,0.9976595587360093,0.9996285260801532,0.9999456881456109,0.9999926007749731,0.9999990525109144,0.9999998851826326,0.9999999867610072
base_value_0.15,0.6984780038168199,0.9277156433044008,0.9852174533001227,0.9973221591585726,0.999560162858111,0.999933448018648,0.999990616326238,0.9999987563634879,0.9999998440202039,0.9999999813849622
base_value_0.16,0.6890975768174323,0.9230867953159428,0.9837631967413427,0.9969632895389074,0.9994849851859957,0.9999195318047324,0.9999882837356445,0.9999983964776902,0.9999997923059217,0.9999999744023191
base_value_0.17,0.6800513568290709,0.918481043018341,0.9822702394606583,0.9965831725267034,0.9994028291790023,0.9999038412983173,0.9999855703258846,0.9999979645628189,0.9999997282740597,0.9999999654825574
base_value_0.18,0.6713113474319007,0.9138982711753774,0.9807403704379907,0.9961820290843248,0.9993135410866155,0.99988627989055,0.9999824427906476,0.999997451883534,0.9999996500030649,0.9999999542543244
base_value_0.19,0.6628533456068777,0.9093383651258062,0.9791752398344096,0.9957600784981069,0.9992169764968183,0.999866752552913,0.9999788672462896,0.9999968492700021,0.9999995554133277,0.9999999403034463
base_value_0.2,0.6546562542419795,0.9048012107804859,0.9775763768217284,0.9953175383895781,0.9991129996428401,0.9998451658210052,0.9999748092795392,0.999996147127909,0.9999994422652106,0.9999999231709988
base_value_0.21,0.6467015473042994,0.9002866946195232,0.9759452042935686,0.9948546247266159,0.9990014827942177,0.9998214277784591,0.999970233991724,0.9999953354483415,0.9999993081573154,0.9999999023514371
base_value_0.22,0.6389728481471587,0.895794703689434,0.9742830511306558,0.9943715518345299,0.9988823057179472,0.9997954480409927,0.9999651060399168,0.9999944038175403,0.9999991505249728,0.9999998772907847
base_value_0.23,0.6314555929825549,0.8913251256003173,0.9725911625232975,0.9938685324070765,0.9987553551984911,0.9997671377405986,0.9999593896753408,0.9999933414265246,0.9999989666389371,0.9999998473848783
base_value_0.24,0.6241367593752305,0.8868778485230423,0.9708707087327009,0.993345777517405,0.9986205246076485,0.9997364095098639,0.9999530487793147,0.9999921370805905,0.9999987536042733,0.9999998119776712
base_value_0.25,0.617004645017129,0.8824527611864511,0.9691227925846779,0.9928034966289344,0.9984777135170133,0.9997031774664247,0.9999460468969821,0.9999907792086836,0.999998508359423,0.9999997703595896
base_value_0.26,0.6100486858370829,0.8780497528745745,0.9673484559242851,0.9922418976061619,0.9983268273470784,0.9996673571975516,0.9999383472690325,0.9999892558726485,0.999998227675439,0.9999997217659465
base_value_0.27,0.6032593052111876,0.8736687134238622,0.9655486852113366,0.9916611867254043,0.9981677770480847,0.9996288657448661,0.9999299128615945,0.9999875547763545,0.999997908155376,0.9999996653754069
base_value_0.28,0.5966277880033992,0.8693095332204259,0.9637244163999027,0.9910615686854715,0.9980004788085398,0.9995876215891861,0.999920706394458,0.9999856632747004,0.9999975462338304,0.9999996003085069
base_value_0.29,0.5901461746083086,0.8649721031972971,0.9618765392166893,0.9904432466182735,0.9978248537879947,0.9995435446355012,0.9999106903677623,0.9999835683824994,0.9999971381766191,0.9999995256262255
base_value_0.3,0.5838071712405052,0.8606563148316982,0.9600059009313369,0.9898064220993601,0.997640827871196,0.9994965561980742,0.999899827087274,0.999981256783244,0.999996680080589,0.999999440328606
base_value_0.31,0.5776040735214666,0.8563620601423276,0.958113309694584,0.9891512951583948,0.9974483314411714,0.9994465789856709,0.9998880786883587,0.9999787148377544,0.9999961678735511,0.9999993433534289
base_value_0.32,0.571530701027873,0.8520892316866573,0.956199537506743,0.9884780642895635,0.9972472991691541,0.999393537086915,0.9998754071587442,0.9999759285927095,0.9999955973143306,0.999999233574934
base_value_0.33,0.5655813409356778,0.847837722558245,0.9542653228681972,0.9877869264619169,0.9970376698195549,0.9993373559557673,0.9998617743601608,0.9999728837890625,0.9999949639929281,0.9999991098025912
